,第1地帯,第2地帯,第3地帯,第4地帯
100,690,790,820,1150
200,780,910,1000,1280
300,870,1030,1180,1410
400,960,1150,1360,1540
500,1050,1270,1540,1670
600,1140,1390,1720,1800
700,1230,1510,1900,1930
800,1320,1630,2080,2060
900,1410,1750,2260,2190
1000,1500,1870,2440,2320
1100,1500,1870,2440,2320
1200,1680,2110,2800,2580
1300,1770,2230,3980,2710
1400,1860,2350,3160,2840
1500,1950,2470,3340,2970
1600,2040,2590,3520,3100
1700,2130,2710,3700,3230
1800,2220,2830,3880,3360
1900,2310,2950,4060,3490
2000,2400,3070,4240,3620
